parallax,phot_g_mean_mag,bp_rp
92.88918596143745,12.29384,3.1821728
92.87660493860945,7.9017744,1.8327341
92.80355717896992,9.466609,2.3027287
92.65249154899843,12.672939,3.3289595
92.61274331836513,10.201433,2.469573
92.4688775242243,11.396397,3.0123415
92.0361989364657,15.117151,1.1163254
92.00283104844637,10.681553,2.45117
91.96457630276807,14.236328,0.62923145
91.89623713745944,10.667789,2.7011995
91.84290429044435,12.306654,3.1709528
91.83819699106915,14.5433,4.371292
91.82632072954252,10.162108,2.5644093
91.79954384973269,10.168245,2.7698936
91.7722368206015,6.0537324,1.2165365
91.7370510095955,10.815969,2.666912
91.6503559470644,4.6710567,0.83154964
91.6112468233174,10.003271,2.5343294
91.47905102923112,9.854037,2.2963428
91.46437521554849,11.40063,2.9072123
91.38759677020911,8.357506,1.7998223
91.33996015398594,12.278974,-0.018343925
91.26917049175621,15.096619,4.806489
91.16336899570281,16.609138,4.7496176
91.147672224769,10.390617,2.4694614
91.11268228893773,13.392563,3.4782925
91.01762240593436,6.297682,1.1009045
90.99318781791534,11.08249,2.8189173
90.94750008166896,8.86984,2.0206547
90.89451645739487,3.468565,0.8189659
90.73352543490094,9.5068655,2.1274614
90.68960370416661,10.582106,2.778369
90.54537622087194,13.174672,0.23365974
90.48928671844165,12.086389,2.9957647
90.417087740951,8.186272,1.8876338
90.17717039545313,11.048344,2.7808332
90.16750586587709,9.915909,2.5391092
90.1467287547449,10.738495,2.829134
90.12337582042167,6.1298075,1.0834298
90.02481648583029,5.6543193,1.0181041
90.02115298994214,8.460503,1.9783306
90.01291497834785,13.151,3.4825516
89.99288677083074,14.523797,4.4516373
89.90645523767196,9.030238,2.5379066
89.82024828337909,11.861726,2.9142733
89.73400494631565,12.901172,3.3367386
89.68495177109118,3.9830012,0.6920738
89.60227871845898,9.027913,2.0562
89.56466413447797,3.694426,0.7034795
89.53273702346151,9.161387,2.0988693
89.50642598239092,14.346308,0.6834936
89.3738958436431,9.139716,2.1872692
89.37095811438479,10.995794,2.7100773
89.35224058068819,6.284586,1.114748
89.32557498587661,10.598303,2.7036085
89.19702943232933,11.13792,2.6362362
89.18972846197906,9.408144,2.2474957
89.12839436515914,12.195167,3.0677652
89.11206739900385,14.425181,0.6977968
89.0701961270145,10.989865,2.7032146
89.05460882101701,7.7041116,1.7386432
89.009238360773,5.200431,0.93412685
88.9811810849401,11.182262,2.7309647
88.8226975511887,12.927332,3.519041
88.7231202625499,12.11649,2.9579945
88.6929302568156,12.179532,3.028575
88.67366322546205,7.196408,1.4578347
88.61369832442405,14.553508,4.319334
88.42400289993235,12.4290085,3.052041
88.30597070744219,9.907381,2.3604517
88.20701360002398,12.205737,3.0918665
88.01086889240217,10.748591,2.5341043
87.98137675447622,12.178306,2.9263916
87.97466867359388,15.273339,4.892805
87.70201142126037,10.737674,2.5547876
87.68027391416446,14.089678,4.025854
87.529739914385,8.195061,1.8158841
87.50119907203403,10.727757,2.7745934
87.37235542781944,6.753961,1.2340403
87.34527041122139,11.196607,2.8138971
87.3251282499995,9.124214,2.2203941
87.20321595615951,13.572975,3.5858707
87.08411564393202,12.492158,2.9515953
87.03112634346951,12.148522,3.2702894
87.00701510121183,10.169039,2.3263788
