phot_g_mean_mag,parallax,bp_rp
17.236017,8.429861471749804,2.9690866
15.952846,8.323639932472862,2.577052
17.6547,8.215217721405462,3.3133373
18.055746,5.137551427110001,3.0988483
19.43227,6.257519868046217,3.5336323
9.447164,6.751317986966738,0.63799477
16.69882,7.016626242959926,2.6805382
18.105417,5.73071527475615,3.39719
16.027994,7.461128510533067,2.6468792
14.470736,6.665155248570592,1.9096966
8.354634,6.039547955122128,0.4294672
10.792466,6.472505903233307,0.85457325
16.15658,5.5933837580250305,2.5975666
18.33783,5.6372593374968405,3.172758
12.7515,9.623387917680938,1.793582
17.078527,6.8084762292486625,2.7437487
15.423132,8.057004685411039,2.578927
14.904882,8.981133948530472,2.3712158
11.198625,5.926562066246068,0.89827156
16.259354,6.146737496177185,2.5826168
17.971167,6.891782230279207,3.2238064
17.876095,10.072877940160435,3.5434399
15.322794,5.121625589804567,1.9983635
17.754606,5.236990378554772,3.0498219
16.834095,5.4382800369734445,2.879549
15.086355,7.318266802938566,2.573512
18.207743,7.767106243305204,3.2404747
11.458007,6.845754364233789,1.0401154
10.434196,8.468761887509137,0.8839321
16.84046,5.876816390460201,2.4732866
10.37074,5.03291794561835,0.77940464
16.492834,6.185221663537311,2.7959738
15.284326,8.76403485225226,2.62327
16.434755,6.385505493564567,2.6130552
14.82834,5.873465699704176,2.0573864
19.133905,6.108287912548598,-0.007555008
10.6667385,5.934188380555027,0.79524136
12.312564,5.027066134275735,0.91900253
16.284025,5.618363594292055,2.483221
17.623919,9.19530640817661,3.4223804
17.375023,14.713027239399228,3.608572
15.475802,12.026144271872388,2.7176266
8.117348,6.597320737386342,1.0695124
14.720965,5.143327316091873,1.9236336
13.399744,8.282643322562523,1.8158207
15.861516,5.239526102001875,2.36479
15.202932,5.02842283216914,2.0428896
15.000568,7.992064173955477,2.3516464
16.251436,6.272647532161184,2.7115593
18.290287,6.9620179863666944,3.6774807
19.319061,9.935431734454552,0.5755749
14.498558,5.573085250182723,1.8959837
9.533814,5.913833450623336,0.77462864
15.257092,6.408426423384611,2.24304
16.340395,5.3002728992766395,2.257739
13.646838,5.766611674636215,1.5221901
15.968223,11.21034593808846,2.8620195
17.088037,5.116754896895769,2.5709705
16.50858,5.255946005175958,2.597951
13.143019,8.525272774911741,1.7113085
11.346681,6.835214324676538,1.0085144
16.579012,8.232519369791113,2.8148174
16.538836,6.685033150087984,2.6582737
12.118749,9.223459960563707,1.397521
9.998943,6.184273200774768,0.70421505
16.60908,6.125220770012012,2.6875563
8.327568,8.708447662006352,0.6955905
